ID,y
1,80.06829
2,94.189964
3,81.952644
4,77.850136
5,111.262535
8,92.87141
10,103.81562
11,94.70748
12,116.74846
14,96.237854
15,115.873405
16,104.00345
17,101.77996
19,91.43547
20,98.76743
21,102.23353
22,118.529144
23,101.77996
26,97.766396
28,95.93923
29,101.77996
33,101.77996
35,94.680275
41,101.699425
42,93.01116
43,114.71394
45,102.546005
46,100.63193
51,94.07814
53,89.13813
55,110.82058
56,104.50981
57,109.101944
58,101.06526
59,102.03229
63,105.70727
64,95.78905
65,97.955925
69,93.78135
71,98.78975
72,104.784485
73,94.597496
76,102.465416
77,98.371925
78,115.50786
82,93.51345
83,97.955925
84,101.15429
85,104.59455
87,112.90861
88,101.699425
89,108.389114
91,98.35835
93,99.97097
94,103.305695
95,97.78795
96,112.780754
97,93.54674
98,109.65129
99,98.03354
101,106.03446
103,108.389114
104,94.53166
105,110.156105
110,98.87423
111,102.5387
113,103.156845
114,96.528366
115,112.24426
117,108.389114
120,96.14222
121,111.850876
122,92.56168
123,103.42972
126,108.265526
132,110.34936
135,111.272125
137,100.7986
138,96.067276
140,103.00482
142,112.39677
144,111.92038
148,92.86653
149,104.06836
155,95.70873
156,112.218185
157,93.54674
162,114.05332
163,96.36917
167,96.1719
172,114.71394
179,105.206856
180,93.10959
181,107.53332
182,96.80978
183,108.389114
185,108.389114
187,106.03918
188,93.37659
189,96.24679
191,94.6016
192,101.66266
193,92.98594
194,108.43302
195,96.27451
196,98.63997
198,108.18361
199,112.46296
201,98.84955
204,96.157814
205,105.79837
206,106.04157
210,95.16825
211,106.03446
216,112.785
219,116.74846
220,93.70255
221,109.222946
226,107.53332
227,93.62763
228,111.44103
230,110.821106
231,93.54674
235,118.529144
236,95.07244
238,111.85634
242,103.91944
243,94.39288
244,74.51712
245,113.67476
247,116.47549
248,95.31475
249,91.45165
250,112.736305
251,95.07244
253,118.529144
254,95.08772
256,95.01527
257,92.200226
258,104.430786
259,98.99326
262,92.22549
266,96.362816
267,112.375435
272,101.80639
273,108.389114
275,92.922615
276,110.371765
279,93.5976
280,97.955925
283,93.03428
285,112.28935
288,108.389114
289,107.61286
290,99.1121
291,94.55835
292,104.76297
293,105.138115
296,92.48851
297,108.421196
298,115.081276
299,93.51345
304,93.57304
305,86.045555
306,95.642555
307,108.017296
311,104.06681
313,107.95798
314,93.709724
316,109.2345
324,108.112114
327,100.062805
329,93.889114
330,109.12067
337,96.40287
338,94.5261
339,96.08352
340,95.36504
343,94.45999
345,115.873405
346,96.92203
347,112.880135
349,111.036896
350,95.000656
352,101.92414
353,94.850525
354,95.16614
357,95.88712
358,106.645065
362,106.23149
364,103.85566
365,104.142075
366,104.90226
367,106.89612
368,94.95481
370,80.86184
373,100.84737
377,95.653885
378,104.23511
382,102.465416
384,111.81217
390,96.37278
392,112.05738
393,111.64063
395,95.55065
396,97.618774
399,81.62112
406,107.95798
408,107.95798
409,93.96315
410,79.43699
412,114.606064
413,90.75721
419,96.24011
420,104.98137
421,91.052574
430,103.89601
434,94.06572
436,95.85607
437,102.052765
438,92.0673
439,112.49245
440,101.60132
443,99.137085
446,96.272354
448,93.27188
452,94.93065
453,108.46412
457,98.608345
458,95.07413
459,114.594574
460,104.16532
462,104.77665
464,100.33236
465,116.74846
467,112.05571
471,103.91204
472,78.241516
473,103.29716
475,96.740395
480,100.9561
488,106.28125
490,108.017296
491,104.4291
492,81.92677
493,95.72896
497,92.09957
498,107.53703
499,95.67094
500,100.8076
501,94.672066
502,107.656975
506,88.7988
510,104.560265
511,91.64941
512,93.86379
516,99.18897
518,95.081085
519,112.96999
521,91.524
522,111.13475
526,111.365685
529,102.59688
532,110.33679
533,96.29953
536,109.76269
537,94.46453
539,94.63037
540,104.771255
541,96.8142
543,95.999916
546,109.50585
547,97.228325
548,97.8775
551,95.18179
552,103.86232
556,101.287186
557,100.10392
558,106.89612
559,95.49243
560,104.171036
562,103.92661
566,98.0892
570,107.53703
571,102.052765
572,97.955925
573,93.37659
575,116.74846
576,109.71145
577,94.88139
579,90.01668
580,111.47642
581,110.34936
589,108.017296
591,103.89333
593,93.69832
594,100.129875
595,94.7632
598,95.573074
602,109.64105
604,112.33142
606,107.36869
608,104.96372
609,106.03446
610,95.58305
616,106.84161
617,93.43461
618,107.81234
620,104.21172
622,102.65957
623,91.23145
624,110.74943
626,111.89847
628,110.53695
629,96.50723
630,110.84222
637,91.73369
638,96.79136
